m_grid=400 n_grid=800 threshold=0.9 endtime=5s
time/s nx ny dist_hor dist_ver alpha_water Ux(m/s) Uz(m/s) acceleration(m^2/s) convergence
1.2029 168 311 0 0 0.997195195431 -0.0191202383582 -4.77914769882 -0.529559463303 1.10805028195e-05
1.203 168 304 0 0 0.997190063559 -0.0192758144981 -4.77913283051 -0.148683070984 3.11107922069e-06
1.2031 168 298 0 0 0.997028625528 -0.0192223149438 -4.7790078191 -1.25011404497 2.61577589345e-05
1.2032 168 292 0 0 0.996665144426 -0.0194309041726 -4.77893441723 -0.734018742561 1.53592287426e-05
1.2033 168 285 0 0 0.997001300509 -0.0193352964104 -4.77893822581 0.0380857673399 7.96951035833e-07
1.2034 168 279 0 0 0.996518056636 -0.0189090245769 -4.77906263736 1.2441155618 2.60333049521e-05
1.2035 168 273 0 0 0.996744304163 -0.0192368417528 -4.77902118946 -0.414478978987 8.67280909329e-06
1.2036 168 266 0 0 0.997003241908 -0.0192603042865 -4.7791617121 1.40522630667 2.94040610191e-05
1.2037 168 260 0 0 0.995800826565 -0.0188536099714 -4.77877585448 -3.8585761148 8.0737508945e-05
1.2038 168 254 0 0 0.996505744048 -0.0188779278894 -4.77914346088 3.67606400425 7.6924804933e-05
1.2039 168 247 0 0 0.996383973527 -0.0187434338525 -4.77942779675 2.84335870562 5.94951528217e-05
1.204 168 241 0 0 0.995494244068 -0.0184682328598 -4.77932586441 -1.01932348131 2.13273120687e-05
1.2041 168 234 0 0 0.996588521702 -0.0182221665909 -4.77940420426 0.783398485469 1.63914013753e-05
1.2042 168 228 0 0 0.996770014346 -0.0187126481916 -4.77925981435 -1.44389909332 3.02108595886e-05
1.2043 168 222 0 0 0.996876213018 -0.018416203721 -4.77921932375 -0.404905928262 8.47214723599e-06
1.2044 167 215 0 0 0.997302905165 -0.0187103914706 -4.77909965284 -1.19670916582 2.50398461497e-05
1.2045 167 209 0 0 0.99713243771 -0.019121860915 -4.77931144781 2.1179497487 4.43169195571e-05
1.2046 167 203 0 0 0.99778153056 -0.018868710425 -4.77933646859 0.250207793755 5.23522679966e-06
1.2047 167 196 0 -400 0.997316397295 -0.019223971144 -4.77905816568 -2.78302910355 5.82304493907e-05
1.2048 167 590 0 0 0.997232286802 -0.0191702366561 -4.77929663283 2.38467145237 4.98983559039e-05
1.2049 167 583 0 0 0.997232306847 -0.0189746420554 -4.77884133559 -4.5529723822 9.52644862203e-05
1.205 167 577 0 0 0.997025837563 -0.0191842635685 -4.77917671743 3.35381840594 7.01805766381e-05
1.2051 167 571 0 0 0.997198698049 -0.0191762620453 -4.77937808312 2.01365693211 4.2133970999e-05
1.2052 167 564 0 0 0.997069994924 -0.019001624541 -4.77881660745 -5.61475676276 0.000117478815551
1.2053 167 558 0 0 0.99670165313 -0.018958792711 -4.77916749577 3.50888324857 7.34257774845e-05
1.2054 167 552 0 0 0.996951789474 -0.0192969498386 -4.77937720713 2.09711360847 4.38803120069e-05
1.2055 167 545 0 0 0.997293407344 -0.0189729378669 -4.77958254483 2.05337702747 4.29632761441e-05
1.2056 167 539 0 0 0.996465603229 -0.0191510166659 -4.77978087511 1.98330272736 4.14953127967e-05
1.2057 167 533 0 0 0.997062813675 -0.0197828123359 -4.77981522222 0.343471160154 7.18591854163e-06
1.2058 167 526 0 0 0.996486554043 -0.0197786494415 -4.7798893617 0.741394799082 1.55109510434e-05
1.2059 167 520 0 0 0.996671146859 -0.0197130295896 -4.77995985569 0.70493985473 1.4748037065e-05
1.206 167 513 0 0 0.997403037479 -0.019891858008 -4.78004408007 0.84224380541 1.76203112754e-05
1.2061 167 507 0 0 0.997259881155 -0.0195907169645 -4.78021225806 1.68177996374 3.5183356797e-05
1.2062 167 501 0 0 0.997205862944 -0.0198044841569 -4.77996566836 -2.465897058 5.15855138826e-05
1.2063 167 494 0 0 0.997571004252 -0.0196593762329 -4.78003227891 0.666105528468 1.39353621905e-05
1.2064 167 488 0 0 0.997389197793 -0.0194126192251 -4.78023745331 2.05174399135 4.29232246068e-05
1.2065 167 482 0 0 0.997708447189 -0.0197819253943 -4.78053247019 2.9501687669 6.17159460322e-05
1.2066 167 475 0 0 0.99758465617 -0.0197393583481 -4.78012027234 -4.12197846974 8.62242542112e-05
1.2067 167 469 0 0 0.996680416878 -0.0196940694464 -4.77993400844 -1.86263901603 3.89663629764e-05
1.2068 167 463 0 0 0.997489393345 -0.0200598659509 -4.780211843 2.77834564604 5.81251883631e-05
1.2069 167 456 0 0 0.996925672897 -0.0196953901736 -4.78023406967 0.222266652363 4.64972389641e-06
1.207 167 450 0 0 0.996405651695 -0.0196924037314 -4.78023387288 -0.00196787304674 4.11668763089e-08
1.2071 167 443 0 0 0.997061011935 -0.0197951128601 -4.78026908781 0.352149276885 7.36677924658e-06
1.2072 167 437 0 0 0.996357275745 -0.0196460045949 -4.78046779574 1.9870793564 4.15683577619e-05
1.2073 167 431 0 0 0.995830117447 -0.0192900495745 -4.78028545532 -1.8234042553 3.81427996843e-05
1.2074 167 424 0 0 0.996976474851 -0.0192047278537 -4.78066632566 3.8087034156 7.96752296739e-05
1.2075 167 418 0 0 0.996393453006 -0.0194532569931 -4.7804261558 -2.40169860541 5.02377376249e-05
1.2076 167 412 0 0 0.996747108567 -0.0190980716119 -4.78017929601 -2.46859786592 5.16397029358e-05
1.2077 167 405 0 0 0.996909732824 -0.0194091805725 -4.78043471586 2.55419847328 5.34331102477e-05
1.2078 167 399 0 0 0.996602002525 -0.0197622875312 -4.78021346801 -2.21247847433 4.62819514508e-05
1.2079 167 392 0 0 0.996988065144 -0.0193321108995 -4.78018924704 -0.242209745513 5.06692320613e-06
1.208 167 386 0 0 0.996915150211 -0.019865060476 -4.78027197468 0.827276446227 1.73063534407e-05
1.2081 167 380 0 0 0.996573388702 -0.0196579805116 -4.7801263575 -1.45617179323 3.04621117992e-05
1.2082 167 373 0 0 0.997240056924 -0.0195736665832 -4.78032540357 1.99046064181 4.16403352746e-05
1.2083 166 367 0 0 0.996691433024 -0.0198668544518 -4.78006756529 -2.57838277747 5.39373904452e-05
1.2084 166 361 0 0 0.996787742373 -0.0195325709223 -4.77998894915 -0.786161381088 1.64466583443e-05
1.2085 166 354 0 0 0.996843476675 -0.0199063989954 -4.78013360475 1.44655597248 3.02627472128e-05
1.2086 166 348 0 0 0.996474569374 -0.0200506765826 -4.78030749577 1.73891020101 3.63778577084e-05
1.2087 166 342 0 0 0.996671143463 -0.0197724346842 -4.78012310696 -1.84388808947 3.85725832721e-05
1.2088 166 335 0 0 0.996451667231 -0.0203932838886 -4.78031290432 1.89797357429 3.97055375315e-05
1.2089 166 329 0 0 0.996686232538 -0.0202800096315 -4.78098481261 6.71908288098 0.000140557386419
1.209 166 322 0 0 0.996770738278 -0.0204431677307 -4.78067955669 -3.05255914234 6.38479154815e-05
1.2091 166 316 0 0 0.99627928838 -0.0207013790279 -4.78073085666 0.512999659454 1.07306849031e-05
1.2092 166 310 0 0 0.997281955594 -0.0208009631759 -4.78117042699 4.39570327295 9.19462610372e-05
1.2093 166 303 0 0 0.997067463891 -0.0205399487224 -4.78092293118 -2.47495804507 5.17646898989e-05
1.2094 166 297 0 0 0.997144648305 -0.0202301931867 -4.78101173729 0.888061071604 1.85750969925e-05
1.2095 166 291 0 0 0.997708717447 -0.0206635653049 -4.78105568511 0.439478182539 9.19215862014e-06
1.2096 166 284 0 0 0.996807424115 -0.0202349856728 -4.78077678752 -2.78897585305 5.83338918585e-05
1.2097 166 278 0 0 0.997196506768 -0.0203401029019 -4.78104862944 2.71841920542 5.68614542414e-05
1.2098 166 271 0 0 0.997630006803 -0.0204137141005 -4.78097845238 -0.70177060671 1.46781733695e-05
1.2099 166 265 0 0 0.997056426881 -0.0203246525993 -4.78086572274 -1.12729642143 2.35787806336e-05
1.21 166 259 0 0 0.997236491942 -0.0207228632552 -4.78082860899 -0.371137481352 7.76297647488e-06
1.2101 166 252 0 0 0.997231071489 -0.0206631472102 -4.78078892766 -0.396813310921 8.30009488679e-06
1.2102 166 246 0 0 0.997170040816 -0.020439675719 -4.78077978741 -0.0914024461984 1.91186951738e-06
1.2103 166 240 0 0 0.997277469684 -0.0207492183258 -4.78104238258 2.62595164033 5.49272662013e-05
1.2104 166 233 0 0 0.996970517036 -0.0204250368533 -4.78076996593 -2.72416650532 5.69785056757e-05
1.2105 166 227 0 0 0.996042074513 -0.0203193873302 -4.78069833192 -0.71634006356 1.49837802e-05
1.2106 166 220 0 0 0.99675187832 -0.0200629246864 -4.78135799486 6.59662936504 0.000137984639629
1.2107 166 214 0 0 0.996781418012 -0.0197441853131 -4.78112097706 -2.37017798294 4.95712302966e-05
